日期,经文,内容,状态
2020-07-15,Matthew 5:31-32,"【太5:31】“又有话说：‘人若休妻，就当给她休书。’
【太5:32】只是我告诉你们：凡休妻的，若不是为淫乱的缘故，就是叫她作淫妇了。人若娶这被休的妇人，也是犯奸淫了。”",⏳进行中...
2020-07-16,Matthew 5:33-36,"【太5:33】“你们又听见有吩咐古人的话，说：‘不可背誓，所起的誓，总要向主谨守。’
【太5:34】只是我告诉你们，什么誓都不可起。不可指着天起誓，因为天是　神的座位；
【太5:35】不可指着地起誓，因为地是他的脚凳；也不可指着耶路撒冷起誓，因为耶路撒冷是大君的京城；
【太5:36】又不可指着你的头起誓，因为你不能使一根头发变黑变白了。",⏳进行中...
2020-07-17,Matthew 5:37,【太5:37】你们的话，是，就说是；不是，就说不是；若再多说，就是出于那恶者（或作“是从恶里出来的”）。”,⏳进行中...
2020-07-18,Matthew 5:38-39,"【太5:38】“你们听见有话说：‘以眼还眼，以牙还牙。’
【太5:39】只是我告诉你们：不要与恶人作对。有人打你的右脸，连左脸也转过来由他打；",⏳进行中...
2020-07-19,Matthew 5:40-42,,💒主日休息
2020-07-20,Matthew 5:40-42,"【太5:40】有人想要告你，要拿你的里衣，连外衣也由他拿去；
【太5:41】有人强逼你走一里路，你就同他走二里；
【太5:42】有求你的，就给他；有向你借贷的，不可推辞。”",⏳进行中...
2020-07-21,Matthew 5:43-45,"【太5:43】“你们听见有话说：‘当爱你的邻舍，恨你的仇敌。’
【太5:44】只是我告诉你们：要爱你们的仇敌，为那逼迫你们的祷告。
【太5:45】这样，就可以作你们天父的儿子，因为他叫日头照好人，也照歹人；降雨给义人，也给不义的人。",⏳进行中...
2020-07-22,Matthew 5:46-48,"【太5:46】你们若单爱那爱你们的人，有什么赏赐呢？就是税吏不也是这样行吗？
【太5:47】你们若单请你弟兄的安，比人有什么长处呢？就是外邦人不也是这样行吗？
【太5:48】所以你们要完全，像你们的天父完全一样。”",⏳进行中...
2020-07-23,Matthew 6:1-2,"【太6:1】“你们要小心，不可将善事行在人的面前，故意叫他们看见；若是这样，就不能得你们天父的赏赐了。
【太6:2】所以，你施舍的时候，不可在你前面吹号，像那假冒为善的人在会堂里和街道上所行的，故意要得人的荣耀。我实在告诉你们，他们已经得了他们的赏赐。",⏳进行中...
2020-07-24,Matthew 6:3-4,"【太6:3】你施舍的时候，不要叫左手知道右手所作的；
【太6:4】要叫你施舍的事行在暗中，你父在暗中察看，必然报答你（有古卷作“必在明处报答你”）。”",⏳进行中...
2020-07-25,Matthew 6:5-6,"【太6:5】“你们祷告的时候，不可像那假冒为善的人，爱站在会堂里和十字路口上祷告，故意叫人看见。我实在告诉你们，他们已经得了他们的赏赐。
【太6:6】你祷告的时候，要进你的内屋，关上门，祷告你在暗中的父。你父在暗中察看，必然报答你。",⏳进行中...
2020-07-26,Matthew 6:7-8,,💒主日休息
2020-07-27,Matthew 6:7-8,"【太6:7】你们祷告，不可像外邦人，用许多重复话，他们以为话多了必蒙垂听。
【太6:8】你们不可效法他们，因为你们没有祈求以先，你们所需用的，你们的父早已知道了。”",⏳进行中...
2020-07-28,Matthew 6:9-13,"【太6:9】“所以，你们祷告要这样说：‘我们在天上的父，愿人都尊你的名为圣。
【太6:10】愿你的国降临。愿你的旨意行在地上，如同行在天上。
【太6:11】我们日用的饮食，今日赐给我们。
【太6:12】免我们的债，如同我们免了人的债。
【太6:13】不叫我们遇见试探，救我们脱离凶恶（或作“脱离恶者”）。因为国度、权柄、荣耀，全是你的，直到永远。阿们（有古卷无“因为”至“阿们”等字）。’”",⏳进行中...
2020-07-29,Matthew 6:14-15,"【太6:14】“你们饶恕人的过犯，你们的天父也必饶恕你们的过犯；
【太6:15】你们不饶恕人的过犯，你们的天父也必不饶恕你们的过犯。”",⏳进行中...
2020-07-30,Matthew 6:16-18,"【太6:16】“你们禁食的时候，不可像那假冒为善的人，脸上带着愁容，因为他们把脸弄得难看，故意叫人看出他们是禁食。我实在告诉你们：他们已经得了他们的赏赐。
【太6:17】你禁食的时候，要梳头洗脸，
【太6:18】不叫人看出你禁食来，只叫你暗中的父看见。你父在暗中察看，必然报答你。”",⏳进行中...
2020-07-31,Matthew 6:19-21,"【太6:19】“不要为自己积攒财宝在地上，地上有虫子咬，能锈坏，也有贼挖窟窿来偷；
【太6:20】只要积攒财宝在天上，天上没有虫子咬，不能锈坏，也没有贼挖窟窿来偷。
【太6:21】因为你的财宝在哪里，你的心也在那里。”",⏳进行中...
2020-08-01,Matthew 6:22-23,"【太6:22】“眼睛就是身上的灯。你的眼睛若了亮，全身就光明；
【太6:23】你的眼睛若昏花，全身就黑暗。你里头的光若黑暗了，那黑暗是何等大呢！”",⏳进行中...
2020-08-02,Matthew 6:24,,💒主日休息
2020-08-03,Matthew 6:24,【太6:24】“一个人不能侍奉两个主。不是恶这个爱那个，就是重这个轻那个。你们不能又侍奉　神，又侍奉玛门（“玛门”是“财利”的意思）。”,⏳进行中...
2020-08-04,Matthew 6:25-26,"【太6:25】“所以我告诉你们：不要为生命忧虑吃什么，喝什么，为身体忧虑穿什么。生命不胜于饮食吗？身体不胜于衣裳吗？
【太6:26】你们看那天上的飞鸟，也不种，也不收，也不积蓄在仓里，你们的天父尚且养活它。你们不比飞鸟贵重得多吗？",⏳进行中...
2020-08-05,Matthew 6:27-29,"【太6:27】你们哪一个能用思虑使寿数多加一刻呢（或作“使身量多加一肘呢”）？
【太6:28】何必为衣裳忧虑呢？你想：野地里的百合花怎么长起来；它也不劳苦，也不纺线；
【太6:29】然而我告诉你们：就是所罗门极荣华的时候，他所穿戴的还不如这花一朵呢！",⏳进行中...
2020-08-06,Matthew 6:30-32,"【太6:30】你们这小信的人哪！野地里的草今天还在，明天就丢在炉里，　神还给它这样的妆饰，何况你们呢！
【太6:31】所以，不要忧虑说：‘吃什么？喝什么？穿什么？’
【太6:32】这都是外邦人所求的。你们需用的这一切东西，你们的天父是知道的。",⏳进行中...
2020-08-07,Matthew 6:33-34,"【太6:33】你们要先求他的国和他的义，这些东西都要加给你们了。
【太6:34】所以，不要为明天忧虑，因为明天自有明天的忧虑；一天的难处一天当就够了。”",⏳进行中...
2020-08-08,Matthew 7:1-2,"【太7:1】“你们不要论断人，免得你们被论断。
【太7:2】因为你们怎样论断人，也必怎样被论断；你们用什么量器量给人，也必用什么量器量给你们。",⏳进行中...
2020-08-09,Matthew 7:3-5,,💒主日休息
2020-08-10,Matthew 7:3-5,"【太7:3】为什么看见你弟兄眼中有刺，却不想自己眼中有梁木呢？
【太7:4】你自己眼中有梁木，怎能对你弟兄说‘容我去掉你眼中的刺’呢？
【太7:5】你这假冒为善的人！先去掉自己眼中的梁木，然后才能看得清楚，去掉你弟兄眼中的刺。",⏳进行中...
2020-08-11,Matthew 7:6,【太7:6】不要把圣物给狗，也不要把你们的珍珠丢在猪前，恐怕它践踏了珍珠，转过来咬你们。”,⏳进行中...
2020-08-12,Matthew 7:7-8,"【太7:7】“你们祈求，就给你们；寻找，就寻见；叩门，就给你们开门。
【太7:8】因为凡祈求的，就得着；寻找的，就寻见；叩门的，就给他开门。",⏳进行中...
2020-08-13,Matthew 7:9-12,"【太7:9】你们中间谁有儿子求饼，反给他石头呢？
【太7:10】求鱼，反给他蛇呢？
【太7:11】你们虽然不好，尚且知道拿好东西给儿女，何况你们在天上的父，岂不更把好东西给求他的人吗？
【太7:12】所以，无论何事，你们愿意人怎样待你们，你们也要怎样待人，因为这就是律法和先知的道理。”",⏳进行中...
2020-08-14,Matthew 7:13-14,"【太7:13】“你们要进窄门。因为引到灭亡，那门是宽的，路是大的，进去的人也多；
【太7:14】引到永生，那门是窄的，路是小的，找着的人也少。”",⏳进行中...
2020-08-15,Matthew 7:15-17,"【太7:15】“你们要防备假先知，他们到你们这里来，外面披着羊皮，里面却是残暴的狼。
【太7:16】凭着他们的果子，就可以认出他们来。荆棘上岂能摘葡萄呢？蒺藜里岂能摘无花果呢？
【太7:17】这样，凡好树都结好果子，惟独坏树结坏果子。",⏳进行中...
2020-08-16,Matthew 7:18-20,,💒主日休息
2020-08-17,Matthew 7:18-20,"【太7:18】好树不能结坏果子，坏树不能结好果子。
【太7:19】凡不结好果子的树，就砍下来丢在火里。
【太7:20】所以，凭着他们的果子，就可以认出他们来。”",⏳进行中...
2020-08-18,Matthew 7:21-23,"【太7:21】“凡称呼我‘主啊，主啊’的人，不能都进天国；惟独遵行我天父旨意的人，才能进去。
【太7:22】当那日，必有许多人对我说：‘主啊，主啊，我们不是奉你的名传道，奉你的名赶鬼，奉你的名行许多异能吗？’
【太7:23】我就明明地告诉他们说：‘我从来不认识你们，你们这些作恶的人，离开我去吧！’”",⏳进行中...
2020-08-19,Matthew 7:24-27,"【太7:24】“所以，凡听见我这话就去行的，好比一个聪明人，把房子盖在磐石上。
【太7:25】雨淋，水冲，风吹，撞着那房子，房子总不倒塌，因为根基立在磐石上。
【太7:26】凡听见我这话不去行的，好比一个无知的人，把房子盖在沙土上。
【太7:27】雨淋，水冲，风吹，撞着那房子，房子就倒塌了，并且倒塌得很大。”",⏳进行中...
2020-08-20,Matthew 5,,⌛️停休复习
2020-08-21,Matthew 6,,⌛️停休复习
2020-08-22,Matthew 7,,⌛️停休复习
2020-08-23,Philippians 1:1-2,,💒主日休息
2020-08-24,Philippians 1:1-2,"【腓1:1】基督耶稣的仆人保罗和提摩太写信给凡住腓立比、在基督耶稣里的众圣徒和诸位监督、诸位执事。
【腓1:2】愿恩惠、平安从　神我们的父并主耶稣基督归与你们！",⏳进行中...
2020-08-25,Philippians 1:3-6,"【腓1:3】我每逢想念你们，就感谢我的　神；
【腓1:4】（每逢为你们众人祈求的时候，常是欢欢喜喜地祈求。）
【腓1:5】因为从头一天直到如今，你们是同心合意地兴旺福音。
【腓1:6】我深信那在你们心里动了善工的，必成全这工，直到耶稣基督的日子。",⏳进行中...
2020-08-26,Philippians 1:7-11,"【腓1:7】我为你们众人有这样的意念，原是应当的，因你们常在我心里，无论我是在捆锁之中，是辩明证实福音的时候，你们都与我一同得恩。
【腓1:8】我体会基督耶稣的心肠，切切地想念你们众人，这是　神可以给我作见证的。
【腓1:9】我所祷告的，就是要你们的爱心在知识和各样见识上多而又多，
【腓1:10】使你们能分别是非（或作“喜爱那美好的事”），作诚实无过的人，直到基督的日子；
【腓1:11】并靠着耶稣基督结满了仁义的果子，叫荣耀称赞归与　神。",⏳进行中...
2020-08-27,Philippians 1:12-14,"【腓1:12】弟兄们，我愿意你们知道，我所遭遇的事更是叫福音兴旺，
【腓1:13】以致我受的捆锁，在御营全军和其余的人中，已经显明是为基督的缘故。
【腓1:14】并且那在主里的弟兄，多半因我受的捆锁，就笃信不疑，越发放胆传　神的道，无所惧怕。",⏳进行中...
2020-08-28,Philippians 1:15-18,"【腓1:15】有的传基督是出于嫉妒纷争，也有的是出于好意，
【腓1:16】这一等是出于爱心，知道我是为辩明福音设立的。
【腓1:17】那一等传基督是出于结党，并不诚实，意思要加增我捆锁的苦楚。
【腓1:18】这有何妨呢？或是假意，或是真心，无论怎样，基督究竟被传开了。为此，我就欢喜，并且还要欢喜。",⏳进行中...
2020-08-29,Philippians 1:19-20,"【腓1:19】因为我知道，这事藉着你们的祈祷和耶稣基督之灵的帮助，终必叫我得救。
【腓1:20】照着我所切慕、所盼望的，没有一事叫我羞愧。只要凡事放胆，无论是生是死，总叫基督在我身上照常显大。",⏳进行中...
2020-08-30,Philippians 1:21-24,,💒主日休息
2020-08-31,Philippians 1:21-24,"【腓1:21】因我活着就是基督，我死了就有益处。
【腓1:22】但我在肉身活着，若成就我工夫的果子，我就不知道该挑选什么。
【腓1:23】我正在两难之间，情愿离世与基督同在，因为这是好得无比的。
【腓1:24】然而，我在肉身活着，为你们更是要紧的。",⏳进行中...
2020-09-01,Philippians 1:25-26,"【腓1:25】我既然这样深信，就知道仍要住在世间，且与你们众人同住，使你们在所信的道上又长进、又喜乐。
【腓1:26】叫你们在基督耶稣里的欢乐，因我再到你们那里去，就越发加增。",⏳进行中...
2020-09-02,Philippians 1:27,【腓1:27】只要你们行事为人与基督的福音相称，叫我或来见你们，或不在你们那里，可以听见你们的景况，知道你们同有一个心志，站立得稳，为所信的福音齐心努力。,⏳进行中...
2020-09-03,Philippians 1:28-30,"【腓1:28】凡事不怕敌人的惊吓，这是证明他们沉沦，你们得救，都是出于　神。
【腓1:29】因为你们蒙恩，不但得以信服基督，并要为他受苦。
【腓1:30】你们的争战，就与你们在我身上从前所看见、现在所听见的一样。",⏳进行中...
2020-09-04,Philippians 2:1-2,"【腓2:1】所以在基督里若有什么劝勉，爱心有什么安慰，圣灵有什么交通，心中有什么慈悲怜悯，
【腓2:2】你们就要意念相同，爱心相同，有一样的心思，有一样的意念，使我的喜乐可以满足。",⏳进行中...
2020-09-05,Philippians 2:3-4,"【腓2:3】凡事不可结党，不可贪图虚浮的荣耀，只要存心谦卑，各人看别人比自己强。
【腓2:4】各人不要单顾自己的事，也要顾别人的事。",⏳进行中...
2020-09-27,Philippians 2:5-8,,💒主日休息
2020-09-28,Philippians 2:5-8,"【腓2:5】你们当以基督耶稣的心为心。
【腓2:6】他本有　神的形像，不以自己与　神同等为强夺的，
【腓2:7】反倒虚己，取了奴仆的形像，成为人的样式。
【腓2:8】既有人的样子，就自己卑微，存心顺服，以至于死，且死在十字架上。",⏳进行中...
2020-09-29,Philippians 2:9-11,"【腓2:9】所以　神将他升为至高，又赐给他那超乎万名之上的名，
【腓2:10】叫一切在天上的、地上的和地底下的，因耶稣的名无不屈膝，
【腓2:11】无不口称耶稣基督为主，使荣耀归与父　神。",⏳进行中...
2020-09-30,Philippians 2:12-13,"【腓2:12】这样看来，我亲爱的弟兄，你们既是常顺服的，不但我在你们那里，就是我如今不在你们那里，更是顺服的，就当恐惧战兢，作成你们得救的工夫；
【腓2:13】因为你们立志行事，都是　神在你们心里运行，为要成就他的美意。",⏳进行中...
2020-10-01,Philippians 2:14-16,"【腓2:14】凡所行的，都不要发怨言、起争论，
【腓2:15】使你们无可指摘，诚实无伪，在这弯曲悖谬的世代作　神无瑕疵的儿女。你们显在这世代中，好像明光照耀，
【腓2:16】将生命的道表明出来，叫我在基督的日子好夸我没有空跑，也没有徒劳。",⏳进行中...
2020-10-02,Philippians 2:17-18,"【腓2:17】我以你们的信心为供献的祭物，我若被浇奠在其上，也是喜乐，并且与你们众人一同喜乐；
【腓2:18】你们也要照样喜乐，并且与我一同喜乐。",⏳进行中...
2020-10-03,Philippians 2:19-20,"【腓2:19】我靠主耶稣指望快打发提摩太去见你们，叫我知道你们的事，心里就得着安慰。
【腓2:20】因为我没有别人与我同心，实在挂念你们的事。",⏳进行中...
2020-10-04,Philippians 2:21-22,,💒主日休息
2020-10-05,Philippians 2:21-22,"【腓2:21】别人都求自己的事，并不求耶稣基督的事。
【腓2:22】但你们知道提摩太的明证，他兴旺福音，与我同劳，待我像儿子待父亲一样。",⏳进行中...
2020-10-06,Philippians 2:23-24,"【腓2:23】所以我一看出我的事要怎样了结，就盼望立刻打发他去；
【腓2:24】但我靠着主，自信我也必快去。",⏳进行中...
2020-10-07,Philippians 2:25-28,"【腓2:25】然而，我想必须打发以巴弗提到你们那里去。他是我的兄弟，与我一同作工、一同当兵，是你们所差遣的，也是供给我需用的。
【腓2:26】他很想念你们众人，并且极其难过，因为你们听见他病了。
【腓2:27】他实在是病了，几乎要死，然而　神怜恤他，不但怜恤他，也怜恤我，免得我忧上加忧。
【腓2:28】所以我越发急速打发他去，叫你们再见他，就可以喜乐，我也可以少些忧愁。",⏳进行中...
2020-10-08,Philippians 2:29-30,"【腓2:29】故此，你们要在主里欢欢乐乐地接待他，而且要尊重这样的人，
【腓2:30】因他为作基督的工夫，几乎至死，不顾性命，要补足你们供给我的不及之处。",⏳进行中...
2020-10-09,Philippians 3:1,【腓3:1】弟兄们，我还有话说：你们要靠主喜乐。我把这话再写给你们，于我并不为难，于你们却是妥当。,⏳进行中...
2020-10-10,Philippians 3:2-4,"【腓3:2】应当防备犬类，防备作恶的，防备妄自行割的。
【腓3:3】因为真受割礼的，乃是我们这以　神的灵敬拜，在基督耶稣里夸口，不靠着肉体的。
【腓3:4】其实我也可以靠肉体；若是别人想他可以靠肉体，我更可以靠着了。",⏳进行中...
2020-10-11,Philippians 3:5-7,,💒主日休息
2020-10-12,Philippians 3:5-7,"【腓3:5】我第八天受割礼，我是以色列族、便雅悯支派的人，是希伯来人所生的希伯来人。就律法说，我是法利赛人；
【腓3:6】就热心说，我是逼迫教会的；就律法上的义说，我是无可指摘的。
【腓3:7】只是我先前以为与我有益的，我现在因基督都当作有损的。",⏳进行中...
2020-10-13,Philippians 3:8-11,"【腓3:8】不但如此，我也将万事当作有损的，因我以认识我主基督耶稣为至宝。我为他已经丢弃万事，看作粪土，为要得着基督，
【腓3:9】并且得以在他里面，不是有自己因律法而得的义，乃是有信基督的义，就是因信　神而来的义，
【腓3:10】使我认识基督，晓得他复活的大能，并且晓得和他一同受苦，效法他的死，
【腓3:11】或者我也得以从死里复活。",⏳进行中...
2020-10-14,Philippians 3:12,【腓3:12】这不是说我已经得着了，已经完全了，我乃是竭力追求，或者可以得着基督耶稣所以得着我的（“所以得着我的”或作“所要我得的”）。,⏳进行中...
2020-10-15,Philippians 3:13-14,"【腓3:13】弟兄们，我不是以为自己已经得着了，我只有一件事，就是忘记背后，努力面前的，
【腓3:14】向着标竿直跑，要得　神在基督耶稣里从上面召我来得的奖赏。",⏳进行中...
2020-10-16,Philippians 3:15-16,"【腓3:15】所以我们中间凡是完全人，总要存这样的心；若在什么事上存别样的心，　神也必以此指示你们。
【腓3:16】然而我们到了什么地步，就当照着什么地步行。",⏳进行中...
2020-10-17,Philippians 3:17-19,"【腓3:17】弟兄们，你们要一同效法我，也当留意看那些照我们榜样行的人。
【腓3:18】因为有许多人行事是基督十字架的仇敌。我屡次告诉你们，现在又流泪地告诉你们：
【腓3:19】他们的结局就是沉沦，他们的神就是自己的肚腹，他们以自己的羞辱为荣耀，专以地上的事为念。",⏳进行中...
2020-10-18,Philippians 3:20-21,,💒主日休息
2020-10-19,Philippians 3:20-21,"【腓3:20】我们却是天上的国民，并且等候救主，就是主耶稣基督从天上降临。
【腓3:21】他要按着那能叫万有归服自己的大能，将我们这卑贱的身体改变形状，和他自己荣耀的身体相似。",⏳进行中...
2020-10-20,Philippians 4:1,【腓4:1】我所亲爱、所想念的弟兄们，你们就是我的喜乐，我的冠冕。我亲爱的弟兄，你们应当靠主站立得稳。,⏳进行中...
2020-10-21,Philippians 4:2-3,"【腓4:2】我劝友阿爹和循都基要在主里同心。
【腓4:3】我也求你这真实同负一轭的，帮助这两个女人，因为她们在福音上曾与我一同劳苦；还有革利免，并其余和我一同作工的，他们的名字都在生命册上。",⏳进行中...
2020-10-22,Philippians 4:4-5,"【腓4:4】你们要靠主常常喜乐；我再说，你们要喜乐。
【腓4:5】当叫众人知道你们谦让的心。主已经近了。",⏳进行中...
2020-10-23,Philippians 4:6-7,"【腓4:6】应当一无挂虑，只要凡事藉着祷告、祈求和感谢，将你们所要的告诉　神。
【腓4:7】　神所赐出人意外的平安，必在基督耶稣里保守你们的心怀意念。",⏳进行中...
2020-10-24,Philippians 4:8,【腓4:8】弟兄们，我还有未尽的话：凡是真实的、可敬的、公义的、清洁的、可爱的、有美名的，若有什么德行，若有什么称赞，这些事你们都要思念。,⏳进行中...
2020-10-25,Philippians 4:9-10,,💒主日休息
2020-10-26,Philippians 4:9-10,"【腓4:9】你们在我身上所学习的，所领受的，所听见的，所看见的，这些事你们都要去行，赐平安的　神就必与你们同在。
【腓4:10】我靠主大大地喜乐，因为你们思念我的心如今又发生；你们向来就思念我，只是没得机会。",⏳进行中...
2020-10-27,Philippians 4:11-12,"【腓4:11】我并不是因缺乏说这话，我无论在什么景况都可以知足，这是我已经学会了。
【腓4:12】我知道怎样处卑贱，也知道怎样处丰富，或饱足、或饥饿、或有余、或缺乏，随事随在，我都得了秘诀。",⏳进行中...
2020-10-28,Philippians 4:13-14,"【腓4:13】我靠着那加给我力量的，凡事都能作。
【腓4:14】然而你们和我同受患难，原是美事。",⏳进行中...
2020-10-29,Philippians 4:15-17,"【腓4:15】腓立比人哪，你们也知道我初传福音，离了马其顿的时候，论到授受的事，除了你们以外，并没有别的教会供给我。
【腓4:16】就是我在帖撒罗尼迦，你们也一次两次地打发人供给我的需用。
【腓4:17】我并不求什么馈送，所求的就是你们的果子渐渐增多，归在你们的账上。",⏳进行中...
2020-10-30,Philippians 4:18-20,"【腓4:18】但我样样都有，并且有余；我已经充足，因我从以巴弗提受了你们的馈送，当作极美的香气，为　神所收纳、所喜悦的祭物。
【腓4:19】我的　神必照他荣耀的丰富，在基督耶稣里使你们一切所需用的都充足。
【腓4:20】愿荣耀归给我们的父　神，直到永永远远。阿们！",⏳进行中...
2020-10-31,Philippians 4:21-23,"【腓4:21】请问在基督耶稣里的各位圣徒安。在我这里的众弟兄都问你们安。
【腓4:22】众圣徒都问你们安。在凯撒家里的人特特地问你们安。
【腓4:23】愿主耶稣基督的恩常在你们心里！",⏳进行中...
2020-11-01,Philippians 1-4,,💒主日休息
2020-11-02,Philippians 1,,⌛️停休复习
2020-11-03,Philippians 2,,⌛️停休复习
2020-11-04,Philippians 3,,⌛️停休复习
2020-11-05,Philippians 1-2,,⌛️停休复习
2020-11-06,Philippians 3-4,,⌛️停休复习
2020-11-07,Philippians 1-4,,⌛️停休复习
2020-11-08,Colossians 1:1-2,,💒主日休息
2020-11-09,Colossians 1:1-2,"【西1:1】奉　神旨意，作基督耶稣使徒的保罗和兄弟提摩太，
【西1:2】写信给歌罗西的圣徒，在基督里有忠心的弟兄。愿恩惠、平安从　神我们的父归与你们！",⏳进行中...
2020-11-10,Colossians 1:3-5,"【西1:3】我们感谢　神、我们主耶稣基督的父，常常为你们祷告，
【西1:4】因听见你们在基督耶稣里的信心，并向众圣徒的爱心，
【西1:5】是为那给你们存在天上的盼望；这盼望就是你们从前在福音真理的道上所听见的。",⏳进行中...
2020-11-11,Colossians 1:6-8,"【西1:6】这福音传到你们那里，也传到普天之下，并且结果、增长，如同在你们中间，自从你们听见福音，真知道　神恩惠的日子一样。
【西1:7】正如你们从我们所亲爱、一同作仆人的以巴弗所学的。他为我们（有古卷作“你们”）作了基督忠心的执事，
【西1:8】也把你们因圣灵所存的爱心告诉了我们。",⏳进行中...
2020-11-12,Colossians 1:9-11,"【西1:9】因此，我们自从听见的日子，也就为你们不住地祷告祈求，愿你们在一切属灵的智慧悟性上，满心知道　神的旨意，
【西1:10】好叫你们行事为人对得起主，凡事蒙他喜悦，在一切善事上结果子，渐渐地多知道　神，
【西1:11】照他荣耀的权能，得以在各样的力上加力，好叫你们凡事欢欢喜喜地忍耐宽容，",⏳进行中...
2020-11-13,Colossians 1:12-14,"【西1:12】又感谢父，叫我们能与众圣徒在光明中同得基业。
【西1:13】他救了我们脱离黑暗的权势，把我们迁到他爱子的国里，
【西1:14】我们在爱子里得蒙救赎，罪过得以赦免。",⏳进行中...
2020-11-14,Colossians 1:15-16,"【西1:15】爱子是那不能看见之　神的像，是首生的，在一切被造的以先。
【西1:16】因为万有都是靠他造的，无论是天上的、地上的、能看见的、不能看见的，或是有位的、主治的、执政的、掌权的，一概都是藉着他造的，又是为他造的。",⏳进行中...
2020-11-15,Colossians 1:17-18,,💒主日休息
2020-11-16,Colossians 1:17-18,"【西1:17】他在万有之先，万有也靠他而立。
【西1:18】他也是教会全体之首，他是元始，是从死里首先复生的，使他可以在凡事上居首位。",⏳进行中...
2020-11-17,Colossians 1:19-20,"【西1:19】因为父喜欢叫一切的丰盛在他里面居住。
【西1:20】既然藉着他在十字架上所流的血成就了和平，便藉着他叫万有，无论是地上的、天上的，都与自己和好了。",⏳进行中...
2020-11-18,Colossians 1:21-22,"【西1:21】你们从前与　神隔绝，因着恶行，心里与他为敌。
【西1:22】但如今他藉着基督的肉身受死，叫你们与自己和好，都成了圣洁，没有瑕疵，无可责备，把你们引到自己面前。",⏳进行中...
2020-11-19,Colossians 1:23,【西1:23】只要你们在所信的道上恒心，根基稳固，坚定不移，不至被引动失去（原文作“离开”）福音的盼望，这福音就是你们所听过的，也是传与普天下万人听的（“万人”原文作“凡受造的”）。我保罗也作了这福音的执事。,⏳进行中...
2020-11-20,Colossians 1:24-26,"【西1:24】现在我为你们受苦，倒觉欢乐，并且为基督的身体，就是为教会，要在我肉身上补满基督患难的缺欠。
【西1:25】我照　神为你们所赐我的职分作了教会的执事，要把　神的道理传得全备，
【西1:26】这道理就是历世历代所隐藏的奥秘，但如今向他的圣徒显明了。",⏳进行中...
