日期,经文,内容,状态
2020-08-10,Romans 3:3-4,"【罗3:3】即便有不信的，这有何妨呢？难道他们的不信，就废掉　神的信吗？
【罗3:4】断乎不能！不如说，　神是真实的，人都是虚谎的。如经上所记：“你责备人的时候，显为公义；被人议论的时候，可以得胜。”",⏳进行中...
2020-08-11,Romans 3:5-6,"【罗3:5】我且照着人的常话说，我们的不义若显出　神的义来，我们可以怎么说呢？　神降怒，是他不义吗？
【罗3:6】断乎不是！若是这样，　神怎能审判世界呢？",⏳进行中...
2020-08-12,Romans 3:7-8,"【罗3:7】若　神的真实，因我的虚谎越发显出他的荣耀，为什么我还受审判，好像罪人呢？
【罗3:8】为什么不说，我们可以作恶以成善呢？这是毁谤我们的人说我们有这话。这等人定罪是该当的。",⏳进行中...
2020-08-13,Romans 3:9-10,"【罗3:9】这却怎么样呢？我们比他们强吗？决不是的！因我们已经证明：犹太人和希腊人都在罪恶之下。
【罗3:10】就如经上所记：“没有义人，连一个也没有；",⏳进行中...
2020-08-14,Romans 3:11-12,"【罗3:11】没有明白的，没有寻求　神的；
【罗3:12】都是偏离正路，一同变为无用。没有行善的，连一个也没有。",⏳进行中...
2020-08-15,Romans 3:13-15,"【罗3:13】他们的喉咙是敞开的坟墓，他们用舌头弄诡诈，嘴唇里有虺蛇的毒气，
【罗3:14】满口是咒骂苦毒；
【罗3:15】杀人流血，他们的脚飞跑，",⏳进行中...
2020-08-16,Romans 3:16-18,,💒主日休息
2020-08-17,Romans 3:16-18,"【罗3:16】所经过的路，便行残害暴虐的事；
【罗3:17】平安的路，他们未曾知道；
【罗3:18】他们眼中不怕　神。”",⏳进行中...
2020-08-18,Romans 3:19-20,"【罗3:19】我们晓得律法上的话，都是对律法以下之人说的，好塞住各人的口，叫普世的人都伏在　神审判之下。
【罗3:20】所以凡有血气的，没有一个因行律法能在　神面前称义，因为律法本是叫人知罪。",⏳进行中...
2020-08-19,Romans 3:21-22,"【罗3:21】但如今，　神的义在律法以外已经显明出来，有律法和先知为证。
【罗3:22】就是　神的义，因信耶稣基督加给一切相信的人，并没有分别。",⏳进行中...
2020-08-20,Romans 3:23-24,"【罗3:23】因为世人都犯了罪，亏缺了　神的荣耀，
【罗3:24】如今却蒙　神的恩典，因基督耶稣的救赎，就白白地称义。",⏳进行中...
2020-08-21,Romans 3:25-26,"【罗3:25】　神设立耶稣作挽回祭，是凭着耶稣的血，藉着人的信，要显明　神的义。因为他用忍耐的心，宽容人先时所犯的罪，
【罗3:26】好在今时显明他的义，使人知道他自己为义，也称信耶稣的人为义。",⏳进行中...
2020-08-22,Romans 3:27-28,"【罗3:27】既是这样，哪里能夸口呢？没有可夸的了。用何法没有的呢？是用立功之法吗？不是，乃用信主之法。
【罗3:28】所以（有古卷作“因为”）我们看定了，人称义是因着信，不在乎遵行律法。",⏳进行中...
2020-08-23,Romans 3:29-31,,💒主日休息
2020-08-24,Romans 3:29-31,"【罗3:29】难道　神只作犹太人的　神吗？不也是作外邦人的　神吗？是的，也作外邦人的　神。
【罗3:30】　神既是一位，他就要因信称那受割礼的为义，也要因信称那未受割礼的为义。
【罗3:31】这样，我们因信废了律法吗？断乎不是！更是坚固律法。",⏳进行中...
2020-08-25,Romans 4:1-3,"【罗4:1】如此说来，我们的祖宗亚伯拉罕凭着肉体得了什么呢？
【罗4:2】倘若亚伯拉罕是因行为称义，就有可夸的，只是在　神面前并无可夸。
【罗4:3】经上说什么呢？说：“亚伯拉罕信　神，这就算为他的义。”",⏳进行中...
2020-08-26,Romans 4:4-5,"【罗4:4】作工的得工价，不算恩典，乃是该得的；
【罗4:5】惟有不作工的，只信称罪人为义的　神，他的信就算为义。",⏳进行中...
2020-08-27,Romans 4:6-8,"【罗4:6】正如大卫称那在行为以外蒙　神算为义的人是有福的。
【罗4:7】他说：“得赦免其过、遮盖其罪的，这人是有福的；
【罗4:8】主不算为有罪的，这人是有福的。”",⏳进行中...
2020-08-28,Romans 4:9-10,"【罗4:9】如此看来，这福是单加给那受割礼的人吗？不也是加给那未受割礼的人吗？因我们所说，亚伯拉罕的信，就算为他的义。
【罗4:10】是怎么算的呢？是在他受割礼的时候呢？是在他未受割礼的时候呢？不是在受割礼的时候，乃是在未受割礼的时候。",⏳进行中...
2020-08-29,Romans 4:11-12,"【罗4:11】并且他受了割礼的记号，作他未受割礼的时候因信称义的印证，叫他作一切未受割礼而信之人的父，使他们也算为义；
【罗4:12】又作受割礼之人的父，就是那些不但受割礼，并且按我们的祖宗亚伯拉罕，未受割礼而信之踪迹去行的人。",⏳进行中...
2020-08-30,Romans 4:13-14,,💒主日休息
2020-08-31,Romans 4:13-14,"【罗4:13】因为　神应许亚伯拉罕和他后裔必得承受世界，不是因律法，乃是因信而得的义。
【罗4:14】若是属乎律法的人才得为后嗣，信就归于虚空，应许也就废弃了。",⏳进行中...
2020-09-01,Romans 4:15-16,"【罗4:15】因为律法是惹动忿怒的（或作“叫人受刑的”），哪里没有律法，那里就没有过犯。
【罗4:16】所以人得为后嗣是本乎信，因此就属乎恩，叫应许定然归给一切后裔，不但归给那属乎律法的，也归给那效法亚伯拉罕之信的。",⏳进行中...
2020-09-02,Romans 4:17-18,"【罗4:17】亚伯拉罕所信的，是那叫死人复活、使无变为有的　神，他在主面前作我们世人的父。如经上所记：“我已经立你作多国的父。”
【罗4:18】他在无可指望的时候，因信仍有指望，就得以作多国的父，正如先前所说：“你的后裔将要如此。”",⏳进行中...
2020-09-03,Romans 4:19-20,"【罗4:19】他将近百岁的时候，虽然想到自己的身体如同已死，撒拉的生育已经断绝，他的信心还是不软弱；
【罗4:20】并且仰望　神的应许，总没有因不信，心里起疑惑，反倒因信，心里得坚固，将荣耀归给　神。",⏳进行中...
2020-09-04,Romans 4:21-22,"【罗4:21】且满心相信　神所应许的必能作成。
【罗4:22】所以这就算为他的义。",⏳进行中...
2020-09-05,Romans 4:23-25,"【罗4:23】“算为他义”的这句话，不是单为他写的，
【罗4:24】也是为我们将来得算为义之人写的，就是我们这信　神使我们的主耶稣从死里复活的人。
【罗4:25】耶稣被交给人，是为我们的过犯；复活，是为叫我们称义（或作“耶稣是为我们的过犯交付了，是为我们称义复活了”）。",⏳进行中...
2020-09-06,Romans 5:1-2,,💒主日休息
2020-09-07,Romans 5:1-2,"【罗5:1】我们既因信称义，就藉着我们的主耶稣基督得与　神相和。
【罗5:2】我们又藉着他，因信得进入现在所站的这恩典中，并且欢欢喜喜盼望　神的荣耀。",⏳进行中...
2020-09-08,Romans 5:3-5,"【罗5:3】不但如此，就是在患难中也是欢欢喜喜的。因为知道患难生忍耐，
【罗5:4】忍耐生老练，老练生盼望，
【罗5:5】盼望不至于羞耻；因为所赐给我们的圣灵将　神的爱浇灌在我们心里。",⏳进行中...
2020-09-09,Romans 5:6-8,"【罗5:6】因我们还软弱的时候，基督就按所定的日期为罪人死。
【罗5:7】为义人死，是少有的；为仁人死，或者有敢作的。
【罗5:8】惟有基督在我们还作罪人的时候为我们死，　神的爱就在此向我们显明了。",⏳进行中...
2020-09-10,Romans 5:9-11,"【罗5:9】现在我们既靠着他的血称义，就更要藉着他免去　神的忿怒。
【罗5:10】因为我们作仇敌的时候，且藉着　神儿子的死，得与　神和好；既已和好，就更要因他的生得救了。
【罗5:11】不但如此，我们既藉着我主耶稣基督得与　神和好，也就藉着他以　神为乐。",⏳进行中...
2020-09-11,Romans 5:12-14,"【罗5:12】这就如罪是从一人入了世界，死又是从罪来的；于是死就临到众人，因为众人都犯了罪。
【罗5:13】没有律法之先，罪已经在世上；但没有律法，罪也不算罪。
【罗5:14】然而从亚当到摩西，死就作了王，连那些不与亚当犯一样罪过的，也在他的权下。亚当乃是那以后要来之人的预像。",⏳进行中...
2020-09-12,Romans 5:15-17,"【罗5:15】只是过犯不如恩赐。若因一人的过犯，众人都死了，何况　神的恩典，与那因耶稣基督一人恩典中的赏赐，岂不更加倍地临到众人吗？
【罗5:16】因一人犯罪就定罪，也不如恩赐；原来审判是由一人而定罪，恩赐乃是由许多过犯而称义。
【罗5:17】若因一人的过犯，死就因这一人作了王；何况那些受洪恩又蒙所赐之义的，岂不更要因耶稣基督一人在生命中作王吗？",⏳进行中...
2020-09-13,Romans 5:18-19,,💒主日休息
2020-09-14,Romans 5:18-19,"【罗5:18】如此说来，因一次的过犯，众人都被定罪；照样，因一次的义行，众人也就被称义得生命了。
【罗5:19】因一人的悖逆，众人成为罪人；照样，因一人的顺从，众人也成为义了。",⏳进行中...
2020-09-15,Romans 5:20-21,"【罗5:20】律法本是外添的，叫过犯显多；只是罪在哪里显多，恩典就更显多了。
【罗5:21】就如罪作王叫人死；照样，恩典也藉着义作王，叫人因我们的主耶稣基督得永生。",⏳进行中...
2020-09-16,Romans 6:1-3,"【罗6:1】这样，怎么说呢？我们可以仍在罪中，叫恩典显多吗？
【罗6:2】断乎不可！我们在罪上死了的人岂可仍在罪中活着呢？
【罗6:3】岂不知我们这受洗归入基督耶稣的人，是受洗归入他的死吗？",⏳进行中...
2020-09-17,Romans 6:4,【罗6:4】所以我们藉着洗礼归入死，和他一同埋葬，原是叫我们一举一动有新生的样式，像基督藉着父的荣耀从死里复活一样。,⏳进行中...
2020-09-18,Romans 6:5-7,"【罗6:5】我们若在他死的形状上与他联合，也要在他复活的形状上与他联合。
【罗6:6】因为知道我们的旧人和他同钉十字架，使罪身灭绝，叫我们不再作罪的奴仆。
【罗6:7】因为已死的人是脱离了罪，",⏳进行中...
2020-09-19,Romans 6:8-9,"【罗6:8】我们若是与基督同死，就信必与他同活。
【罗6:9】因为知道基督既从死里复活，就不再死，死也不再作他的主了。",⏳进行中...
2020-09-20,Romans 6:10-11,,💒主日休息
2020-09-21,Romans 6:10-11,"【罗6:10】他死是向罪死了，只有一次；他活是向　神活着。
【罗6:11】这样，你们向罪也当看自己是死的；向　神在基督耶稣里，却当看自己是活的。",⏳进行中...
2020-09-22,Romans 6:12-13,"【罗6:12】所以，不要容罪在你们必死的身上作王，使你们顺从身子的私欲。
【罗6:13】也不要将你们的肢体献给罪作不义的器具；倒要像从死里复活的人，将自己献给　神，并将肢体作义的器具献给　神。",⏳进行中...
2020-09-23,Romans 6:14,【罗6:14】罪必不能作你们的主，因你们不在律法之下，乃在恩典之下。,⏳进行中...
2020-09-24,Romans 6:15-16,"【罗6:15】这却怎么样呢？我们在恩典之下，不在律法之下，就可以犯罪吗？断乎不可！
【罗6:16】岂不晓得你们献上自己作奴仆，顺从谁，就作谁的奴仆吗？或作罪的奴仆，以至于死；或作顺命的奴仆，以至成义。",⏳进行中...
2020-09-25,Romans 6:17-18,"【罗6:17】感谢　神！因为你们从前虽然作罪的奴仆，现今却从心里顺服了所传给你们道理的模范。
【罗6:18】你们既从罪里得了释放，就作了义的奴仆。",⏳进行中...
2020-09-26,Romans 6:19-20,"【罗6:19】我因你们肉体的软弱，就照人的常话对你们说：你们从前怎样将肢体献给不洁、不法作奴仆，以至于不法；现今也要照样将肢体献给义作奴仆，以至于成圣。
【罗6:20】因为你们作罪之奴仆的时候，就不被义约束了。",⏳进行中...
2020-09-27,Romans 6:21-23,,💒主日休息
2020-09-28,Romans 6:21-23,"【罗6:21】你们现今所看为羞耻的事，当日有什么果子呢？那些事的结局就是死；
【罗6:22】但现今你们既从罪里得了释放，作了　神的奴仆，就有成圣的果子，那结局就是永生。
【罗6:23】因为罪的工价乃是死；惟有　神的恩赐，在我们的主基督耶稣里，乃是永生。",⏳进行中...
2020-09-29,Romans 7:1-3,"【罗7:1】弟兄们，我现在对明白律法的人说：你们岂不晓得律法管人是在活着的时候吗？
【罗7:2】就如女人有了丈夫，丈夫还活着，就被律法约束；丈夫若死了，就脱离了丈夫的律法。
【罗7:3】所以丈夫活着，她若归于别人，便叫淫妇；丈夫若死了，她就脱离了丈夫的律法，虽然归于别人，也不是淫妇。",⏳进行中...
2020-09-30,Romans 7:4-6,"【罗7:4】我的弟兄们，这样说来，你们藉着基督的身体，在律法上也是死了，叫你们归于别人，就是归于那从死里复活的，叫我们结果子给　神。
【罗7:5】因为我们属肉体的时候，那因律法而生的恶欲就在我们肢体中发动，以致结成死亡的果子。
【罗7:6】但我们既然在捆我们的律法上死了，现今就脱离了律法，叫我们服侍主，要按着心灵的新样（“心灵”或作“圣灵”），不按着仪文的旧样。",⏳进行中...
2020-10-01,Romans 7:7-8,"【罗7:7】这样，我们可说什么呢？律法是罪吗？断乎不是！只是非因律法，我就不知何为罪。非律法说，“不可起贪心”，我就不知何为贪心。
【罗7:8】然而罪趁着机会，就藉着诫命叫诸般的贪心在我里头发动，因为没有律法，罪是死的。",⏳进行中...
2020-10-02,Romans 7:9-11,"【罗7:9】我以前没有律法，是活着的；但是诫命来到，罪又活了，我就死了。
【罗7:10】那本来叫人活的诫命，反倒叫我死，
【罗7:11】因为罪趁着机会，就藉着诫命引诱我，并且杀了我。",⏳进行中...
2020-10-03,Romans 7:12-13,"【罗7:12】这样看来，律法是圣洁的，诫命也是圣洁、公义、良善的。
【罗7:13】既然如此，那良善的是叫我死吗？断乎不是！叫我死的乃是罪。但罪藉着那良善的叫我死，就显出真是罪，叫罪因着诫命更显出是恶极了。",⏳进行中...
2020-10-04,Romans 7:14-15,,💒主日休息
2020-10-05,Romans 7:14-15,"【罗7:14】我们原晓得律法是属乎灵的，但我是属乎肉体的，是已经卖给罪了。
【罗7:15】因为我所作的，我自己不明白。我所愿意的，我并不作；我所恨恶的，我倒去作。",⏳进行中...
2020-10-06,Romans 7:16-17,"【罗7:16】若我所作的，是我所不愿意的，我就应承律法是善的。
【罗7:17】既是这样，就不是我作的，乃是住在我里头的罪作的。",⏳进行中...
2020-10-07,Romans 7:18-20,"【罗7:18】我也知道在我里头，就是我肉体之中，没有良善。因为立志为善由得我，只是行出来由不得我。
【罗7:19】故此，我所愿意的善，我反不作；我所不愿意的恶，我倒去作。
【罗7:20】若我去作所不愿意作的，就不是我作的，乃是住在我里头的罪作的。",⏳进行中...
2020-10-08,Romans 7:21-23,"【罗7:21】我觉得有个律，就是我愿意为善的时候，便有恶与我同在。
【罗7:22】因为按着我里面的意思（原文作“人”），我是喜欢　神的律；
【罗7:23】但我觉得肢体中另有个律和我心中的律交战，把我掳去叫我附从那肢体中犯罪的律。",⏳进行中...
2020-10-09,Romans 7:24-25,"【罗7:24】我真是苦啊！谁能救我脱离这取死的身体呢？
【罗7:25】感谢　神！靠着我们的主耶稣基督就能脱离了。这样看来，我以内心顺服　神的律，我肉体却顺服罪的律了。",⏳进行中...
2020-10-10,Romans 8:1-2,"【罗8:1】如今那些在基督耶稣里的，就不定罪了。
【罗8:2】因为赐生命圣灵的律在基督耶稣里释放了我，使我脱离罪和死的律了。",⏳进行中...
2020-10-11,Romans 8:3-5,,💒主日休息
2020-10-12,Romans 8:3-5,"【罗8:3】律法既因肉体软弱，有所不能行的，　神就差遣自己的儿子成为罪身的形状，作了赎罪祭，在肉体中定了罪案，
【罗8:4】使律法的义成就在我们这不随从肉体，只随从圣灵的人身上。
【罗8:5】因为随从肉体的人体贴肉体的事；随从圣灵的人体贴圣灵的事。",⏳进行中...
2020-10-13,Romans 8:6-8,"【罗8:6】体贴肉体的就是死，体贴圣灵的乃是生命平安。
【罗8:7】原来体贴肉体的，就是与　神为仇，因为不服　神的律法，也是不能服。
【罗8:8】而且属肉体的人不能得　神的喜欢。",⏳进行中...
2020-10-14,Romans 8:9-11,"【罗8:9】如果　神的灵住在你们心里，你们就不属肉体，乃属圣灵了。人若没有基督的灵，就不是属基督的。
【罗8:10】基督若在你们心里，身体就因罪而死，心灵却因义而活。
【罗8:11】然而叫耶稣从死里复活者的灵，若住在你们心里，那叫基督耶稣从死里复活的，也必藉着住在你们心里的圣灵，使你们必死的身体又活过来。",⏳进行中...
2020-10-15,Romans 8:12-13,"【罗8:12】弟兄们，这样看来，我们并不是欠肉体的债，去顺从肉体活着。
【罗8:13】你们若顺从肉体活着，必要死；若靠着圣灵治死身体的恶行，必要活着。",⏳进行中...
2020-10-16,Romans 8:14-15,"【罗8:14】因为凡被　神的灵引导的，都是　神的儿子。
【罗8:15】你们所受的不是奴仆的心，仍旧害怕；所受的乃是儿子的心，因此我们呼叫：“阿爸，父！”",⏳进行中...
2020-10-17,Romans 8:16-17,"【罗8:16】圣灵与我们的心同证我们是　神的儿女；
【罗8:17】既是儿女，便是后嗣，就是　神的后嗣，和基督同作后嗣。如果我们和他一同受苦，也必和他一同得荣耀。",⏳进行中...
2020-10-18,Romans 8:18-19,,💒主日休息
2020-10-19,Romans 8:18-19,"【罗8:18】我想，现在的苦楚若比起将来要显于我们的荣耀，就不足介意了。
【罗8:19】受造之物切望等候　神的众子显出来。",⏳进行中...
2020-10-20,Romans 8:20-21,"【罗8:20】因为受造之物服在虚空之下，不是自己愿意，乃是因那叫他如此的。
【罗8:21】但受造之物仍然指望脱离败坏的辖制，得享　神儿女自由的荣耀（“享”原文作“入”）。",⏳进行中...
2020-10-21,Romans 8:22-23,"【罗8:22】我们知道一切受造之物一同叹息、劳苦，直到如今。
【罗8:23】不但如此，就是我们这有圣灵初结果子的，也是自己心里叹息，等候得着儿子的名分，乃是我们的身体得赎。",⏳进行中...
2020-10-22,Romans 8:24-25,"【罗8:24】我们得救是在乎盼望；只是所见的盼望不是盼望，谁还盼望他所见的呢？（有古卷作“人所看见的何必再盼望呢？”）
【罗8:25】但我们若盼望那所不见的，就必忍耐等候。",⏳进行中...
2020-10-23,Romans 8:26-27,"【罗8:26】况且，我们的软弱有圣灵帮助，我们本不晓得当怎样祷告，只是圣灵亲自用说不出来的叹息替我们祷告。
【罗8:27】鉴察人心的，晓得圣灵的意思，因为圣灵照着　神的旨意替圣徒祈求。",⏳进行中...
2020-10-24,Romans 8:28-30,"【罗8:28】我们晓得万事都互相效力，叫爱　神的人得益处，就是按他旨意被召的人。
【罗8:29】因为他预先所知道的人，就预先定下效法他儿子的模样，使他儿子在许多弟兄中作长子。
【罗8:30】预先所定下的人又召他们来，所召来的人又称他们为义，所称为义的人又叫他们得荣耀。",⏳进行中...
2020-10-25,Romans 8:31-32,,💒主日休息
2020-10-26,Romans 8:31-32,"【罗8:31】既是这样，还有什么说的呢？　神若帮助我们，谁能敌挡我们呢？
【罗8:32】　神既不爱惜自己的儿子为我们众人舍了，岂不也把万物和他一同白白地赐给我们吗？",⏳进行中...
2020-10-27,Romans 8:33-34,"【罗8:33】谁能控告　神所拣选的人呢？有　神称他们为义了。（或作“是称他们为义的　神吗？”）
【罗8:34】谁能定他们的罪呢？有基督耶稣已经死了，而且从死里复活，现今在　神的右边，也替我们祈求。（“有基督云云”，或作“是已经死了，而且从死里复活，现今在　神的右边，也替我们祈求的基督耶稣吗？”）",⏳进行中...
2020-10-28,Romans 8:35-37,"【罗8:35】谁能使我们与基督的爱隔绝呢？难道是患难吗？是困苦吗？是逼迫吗？是饥饿吗？是赤身露体吗？是危险吗？是刀剑吗？
【罗8:36】如经上所记：“我们为你的缘故终日被杀，人看我们如将宰的羊。”
【罗8:37】然而，靠着爱我们的主，在这一切的事上已经得胜有余了。",⏳进行中...
2020-10-29,Romans 8:38-39,"【罗8:38】因为我深信无论是死，是生，是天使，是掌权的，是有能的，是现在的事，是将来的事，
【罗8:39】是高处的，是低处的，是别的受造之物，都不能叫我们与　神的爱隔绝；这爱是在我们的主基督耶稣里的。",⏳进行中...
2020-10-30,Romans 9:1-3,"【罗9:1】我在基督里说真话，并不谎言，有我良心被圣灵感动，给我作见证。
【罗9:2】我是大有忧愁，心里时常伤痛；
【罗9:3】为我弟兄、我骨肉之亲，就是自己被咒诅，与基督分离，我也愿意。",⏳进行中...
2020-10-31,Romans 9:4-5,"【罗9:4】他们是以色列人，那儿子的名分、荣耀、诸约、律法、礼仪、应许都是他们的。
【罗9:5】列祖就是他们的祖宗，按肉体说，基督也是从他们出来的，他是在万有之上，永远可称颂的　神。阿们！",⏳进行中...
2020-11-01,Romans 9:6-8,,💒主日休息
